date,seven_day_mae_kw,seven_day_rmse_kw,ssa_mae_kw,ssa_rmse_kw,rmse_difference_ssa_minus_7day_kw,ssa_wins,effective_seven_day_mae_kw,effective_seven_day_rmse_kw,effective_ssa_mae_kw,effective_ssa_rmse_kw
2025-02-01,63.8709540673,119.7640933407,224.7416746950,308.4573855938,188.6932922531,False,129.5410899393,170.5605951443,309.8985392779,365.7955136308
2025-02-02,90.8993412697,177.5046089134,220.4487154343,307.5730817405,130.0684728271,False,184.3592273638,252.7910569239,296.6541013787,358.7476542229
2025-02-03,76.2195826388,146.5204409089,172.2901923697,249.8490879944,103.3286470855,False,159.0669111800,211.6678592797,222.7339936119,277.1085993550
2025-02-04,100.4061418651,197.0218709565,185.5569310224,270.5343042904,73.5124333338,False,203.6405881287,280.5863312570,254.9649281800,324.5458217960
2025-02-05,85.9580661704,176.2493146838,217.0819433377,310.4341272254,134.1848125416,False,174.3374545266,251.0033447231,277.2831449895,351.8279520980
2025-02-06,63.8639830358,115.2085731293,200.7638209035,292.3930619006,177.1844887713,False,133.1851103522,166.4329559267,263.1120694267,339.3796465235
2025-02-07,157.9670032737,312.4503888463,303.5872308877,448.5143589258,136.0639700794,False,320.3098195170,444.9722795021,466.3330376150,589.4940205743
2025-02-08,116.7470762897,231.3141700496,223.4792940347,324.1380041222,92.8238340726,False,236.7305207245,329.4231695504,305.5102022335,384.5685993981
2025-02-09,108.6302950394,200.6802996148,199.3213966612,289.3578621865,88.6775625717,False,220.2856591546,285.7963728039,284.0769462499,355.0967270307
2025-02-10,199.7376416664,367.8638257568,373.2113857891,532.9193981004,165.0555723436,False,405.0824760558,523.8888384978,614.4227497826,721.9364034419
2025-02-11,132.5186129959,230.9619683977,163.0019349097,235.0030999347,4.0411315370,False,265.0295472219,326.6295452843,235.0343836040,287.1735697304
2025-02-12,113.9240708335,220.4266405522,176.1405482173,249.6307541892,29.2041136370,False,224.7242328771,309.5878422210,237.7998583464,290.3972502072
